"","Acrónimo","Título","Descripción","Año","Mes","Día","Ciudad","País","Tópicos"
"137","SWAT4HCLS 2019","Semantic Web Applications and Tools in Healthcare and Life Sciences 2019",""," 2019","Dec","9","Edinburgh","UK","new applications of semantic technologies,current challenges and experiences,semantic technologies and applications,resources,"
"138","CITIS 2020","International Conference on Science, Technology and Innovation for Society",""," 2020","Feb","5","Guayaquil","Ecuador","information and communications,mobility,industry,environmental sustainability,"
"139","JIDIC 2019","Jornadas Nacionales  de Investigación, Desarrollo e  Innovación en Ciberseguridad",""," 2019","Oct","23","Viña Del Mar","Chile",""
"140","SEMANTIK 2019","Seminar Nasional Pendidikan Matematika",""," 2019","Dec","7","Yogyakarta","Indonesia","evaluation and assessment,ethnomatematics,teaching and learning,problem solving,"
"141","AgAmb2019","Workshop on Agents and Ambient Intelligence",""," 2019","Oct","28","Torino","Italy",""
"142","AMMMT-2019","Advanced Materials, Manufacturing, Management and Thermal Sciences 2019",""," 2019","Nov","13","Tumkur","India","thermal science,materials engineering,management,manufacturing,"
"143","IC-HEDS 2019","International Conference on Humanities, Education and Social Sciences",""," 2019","Nov","20","Jakarta","Indonesia","humanities and cultural studies,social sciences,education,"
"144","ICTM 2019","International Conference on Islamic Civilization and Technology Management",""," 2019","Nov","23","Kuala Terengganu","Malaysia",""
"145","HR Congress 2019","International Conference and HR Congress on Impact of Emerging Technologies on Employment",""," 2019","Sep","21","Kolkata","India","business and management,blockchain and cryptography,robotics and 3d printing,ai ml and dl,"
"146","COCEFKS-19","Challenges and Opportunities of a Contemporary Economy in the Focus of Knowledge and Science",""," 2019","Dec","13","Tirana","Albania","information technology in economy,finance and accounting,marketing and tourism,management and economics,"
"147","ANSHAR2019","Annual Symposium on Hajj and Umrah Medicine",""," 2019","Nov","15","Kota Batu","Indonesia","clinical science,biomedical science,hajj medicine,public health,"
"148","SemnasFAI2019","Seminar Nasional FAI 2019",""," 2019","Oct","9","Semarang","Indonesia","islamic economy,islamic civilization,islamic education,islamic law,"
"149","RECOMB 2020","The 24th International Conference on Research in Computational Molecular Biology",""," 2020","May","8","Padova","Italy","bioinformatics,computer science,biology,computational biology,"
"150","HVTT16","16th International Symposium on Heavy Vehicle Transport Technology",""," 2020","Oct","18","Qingdao","China","infrastructure and other transport modes,fleet management and operations,energy efficiency emissions and sustainability,heavy vehicle technology,"
"151","LFCS 2020","Symposium on Logical Foundations of Computer Science 2020",""," 2020","Jan","4","Deerfield Beach","United States","epistemic and temporal logics,constructive mathematics and type theory,logical foundations of database theory,logical foundations of programming,"
"152","WoC'19","The 5th International Workshop on Container Technologies & Container Clouds",""," 2019","Dec","9","Davis","United States","multi host container deployments,container technologies,"
"153","ACCM-2019","The 4th Australasian Conference on Computational Mechanics",""," 2019","Nov","27","Hobart","Australia","material engineering,mechanical engineering,civil engineering,computational mechanics,"
"154","&HPS8","From Unification to Pluralism / Integrated History and Philosophy of Science, 8th Conference",""," 2020","Jul","15","Blacksburg","United States","philosophy of science,philosophy,history,"
"155","CRE2019","2019 Computational Reproducibility at Exascale workshop at SC19",""," 2019","Nov","17","Denver","United States","computational reproducibility,high performance computing,"
"156","ICSDE2020","International Conference on Sustainable Design and Environment 2020",""," 2020","Feb","27","Hong Kong","China","green infrastructure,sustainable design,environmental conservation,sustainability,"
"157","IJDLT2019XRSI","International Journal on Digital Learning Technology: Special Issue on XR(VR/AR/MR)-Enhanced Learning","",NA,"-",NA,"Taipei","Taiwan",""
"158","IMAN 2019","7th International Conference on Islamic Applications in Computer Science and Technologies",""," 2019","Dec","27","Kuala Lumpur","Malaysia","ict and islam,it ethics,muslim contributions in it,arabic natural language processing,"
"159","VIIA-19","2019 IET's Vision and Imaging Technology Award","",NA,"-",NA,"London","UK",""
"160","AutoCarto2020","AutoCarto2020",""," 2020","May","19","Redlands","United States",""
"161","TLLM2020","Second Tsinghua Interdisciplinary Workshop on Logic, Language, and Meaning: Monotonicity in Logic and Language",""," 2020","Apr","10","Beijing","China","monotonicity,linguistics,logic,"
"162","SGKM 2020","Schweizerische Gesellschaft für Kommunikations- und Medienwissenschaft 2020",""," 2020","Apr","23","ZHAW","Switzerland",""
"163","ICSuSaT-2020","3rd International Conference on Sustainable Sciences and Technology (ICSuSaT 2020)",""," 2020","Jul","2","Istanbul","Turkey","sustainable applied sciences,sustainable engineering sciences,sustainable social sciences,sustainable natural science,"
"164","iCOnEC 2019","11th International Conference Competitiveness and Stability in the Knowledge-Based Economy",""," 2019","Oct","25","Craiova","Romania","informatics and statistics,finance and banking,management,economics,"
"165","12th ISIEM 2020","12th International Seminar on Industrial Engineering and Management 2020",""," 2020","Mar","17","Batu Malang","Indonesia","ergonomics,information system,production system,industrial system,"
"166","CAAC2020","'Precarious Futures?: Geopolitics, Mobility and Materiality'. The 6th Chinese in Africa / Africans in China Research Network Conference",""," 2020","Jul","9","Hong Kong","Hong Kong","africans in china,chinese in africa,sinoafrica,china africa relations,"
"167","BW12","Fiction, Narrative and Art Beyond Literature",""," 2020","Apr","29","Barcelona","Spain","literature,art,narrative,fiction,"
"168","BHCC 2019","1st Symposium on Biases in Human Computation and Crowdsourcing",""," 2019","Oct","21","Sheffield","UK","ai,bias,human computation,crowdsourcing,"
"169","SAEIIRC 2019","Sustainable Agroecosystems and Emerging Innovations International Research Conference 2019",""," 2019","Dec","13","Davao City","Philippines","industrial safety,water safety,food security,agriculture,"
"170","IWAIT 2020","International Workshop on Advanced Image Technology 2020",""," 2020","Jan","5","Yogyakarta","Indonesia","computer graphics cloud multimedia computing,multimedia applications computer vision animation,broadcasting networked multimedia multimedia systems,2d/3d image/video processing pattern recognition,"
"171","III ENSIII 2019","III Encuentro Nacional de Semilleros de Ingeniería Industrial 2019",""," 2019","Nov","1","Bogota D.C.","Colombia","innovación y sostenibilidad,gestión organizacional,mejoramiento de procesos,"
"172","IMSC2020","International Mobile Storytelling Congress 2020",""," 2020","Jan","17","Ningbo","China","mobile filmmaking,mobile journalism,mobile storytelling,mobile media and communication,"
"173","EITES 2019","The 3rd International Research Conference on Emerging Information Technology and Engineering Solutions",""," 2019","Dec","19","Pune","India","cognitive computing,artificial intelligence,big data analytics,industry 4.0,"
"174","AICTC - 2019","International Conference on advances in Information Communication Technology & Computing",""," 2019","Nov","8","Bikaner","India",""
"175","ICEEE-2019","2nd International Conference on Engineering, Education and Entrepreneurship",""," 2019","Nov","10","New Delhi","India","mechanical civil architecture biotechnology,machine learning block chain medicines,education and entrepreneurship elcetronics electrical,computer science and intelligent computing,"
"176","REDSET2019","Recent Developments in Science, Engineering and Technology",""," 2019","Nov","15","Gurugram","India","social and web analytics,next generation computing,data centric programming,big data analytics,"
"177","ICCICSTM2020","International Conference on Contemporary Issues in Computing for Science, Technology & Management",""," 2020","Jan","11","India","India","applied and management science,control automation & renewable energy,electronics & communication engineering,computer science & engineering,"
"178","NCRTEMS-2019","National Conference on Recent Trends in Emerging Materials for Sciences",""," 2019","Dec","19","Coimbatore","India","thin films,nanomaterials,"
"179","ICEIM-2020","7th Biennial International Conference on Energy and Infrastructure Management",""," 2020","Feb","27","Ahmedabad - Gandhinagar (Gujarat)","India","human resource management,project & operations management,finance & marketing,energy & infrastructure management,"
"180","MTMI-2019","2019 MTMI INTERNATIONAL CONFERENCE on Emerging Issues in Business, Technology and Applied Sciences",""," 2019","Dec","20","Ebene","Mauritius","applied sciences,business, technology, mathematical sciences,business analytics,operations research techniques,"
"181","CSA 2020","The 4th Conference on Computing Systems and Applications",""," 2020","Apr","20","Algiers","Algeria","computer vision and graphics,information systems and software engineering,computer networks and security,artificial intelligence and data science,"
"182","KEDL2019","NDLI-UNESCO International Symposium on Knowledge Engineering for Digital Library Design",""," 2019","Dec","9","New Delhi","India","semantic search and recommendation,linked data,artificial intelligence,digital library,"
"183","ICOBMIT-2019","11th International Conference on Business Management and Information Technology",""," 2019","Dec","28","Gwalior","India","innovation and competitiveness,business management,information technology,social sciences,"
"184","ICOGECAO 2019","GENDER EQUITY: CHALLENGES AND OPPORTUNITIES 2019",""," 2019","Dec","19","Surat","India","creative writing, liberal arts_mass communication,medicine_nutrition and armed forces,humanities, arts and social sciences,gender equity in technical education,"
"185","IAFSM2019","2019 International Academic Conference on Frontiers in Social Sciences and Management Innovation",""," 2019","Nov","16","Wuhan","China","econimics,business and management,social sciences,"
"186","ICGRMSD2019","7th International Conference on Geology Resources Management and Sustainable Development",""," 2019","Dec","28","Beijing","China",""
"187","CONCUR20","CONCUR 2020: 31st International Conference on Concurrency Theory",""," 2020","Aug","31","Vienna","Austria","concurrent systems,logic,distributed algorithms,formal methods,"
"188","GamiFIN 2020","4th International GamiFIN Conference",""," 2020","Apr","1","Levi","Finland","media,vr,games,gamification,"
"189","ICCE2019","The 6th International Conference on Civil Engineering",""," 2019","Dec","21","Nanchang","China","civil engineering,geotechnical engineering,construction engineering,structural engineering,"
"190","INEC 2020","The 15th International Naval Engineering Conference and Exhibition",""," 2020","Oct","6","Delft","Netherlands",""
"191","iSCSS 2020","International Ship Control Systems Symposium 2020",""," 2020","Oct","6","Delft","Netherlands","digital ship control systems engineering,security ship connectivity crew human,energy hybrid power systems marine,autonomy marine systems ai data,"
"192","CuTLi 2020","Current Trends in Linguistics",""," 2020","Jul","10","Hamburg","Germany","l3 acquistion,multilingualism,language contact,world englishes,"
"193","IEEE ISTAS 2019","2019 IEEE International Symposium on Technology and Society",""," 2019","Nov","15","Boston","United States","ethical standards and artificial intelligence,social implications of technology,ethical implications of technology,sustainable development ict4d humanitarian technology,"
"194","nik2019","Norwegian Informatics Conference",""," 2019","Nov","25","Narvik","Norway",""
"195","CRT2019","Bridging causal inference, reinforcement learning and transfer learning",""," 2019","Sep","19","Cambridge","United States","transfer learning,reinforcement learning,causality,"
"196","Book:AIDDMD-2020","Artificial Intelligence for Data-Driven Medical Diagnosis","",NA,"-",NA,"","","biomedical,machine learning,medical,artificial intelligence,"
"197","AIS 2019","14th International Symposium  on Applied Informatics and Related Areas",""," 2019","Nov","14","Székesfehérvár","Hungary","robotics and artificial intelligence,geodesy and geoinformatics,computer systems,information society,"
"198","ICER2019","The 12th International Conference on Educational Research (ICER2019)",""," 2019","Sep","26","Khon Kaen","Thailand","languages and cultural contexts,educational measurement and psychology,learning and instruction and curriculum,teacher education and professional development,"
"199","PEFnet 2019","23rd European Scientific Conference of Doctoral Students",""," 2019","Nov","28","Brno","Czechia","management, marketing and trade,computer science and information systems,economics, economic policy and finance,quantitative methods,"
"200","CLT20","The Conference on Language and Technology 2020 (CLT20)",""," 2020","Feb","19","Lahore","Pakistan","script,speech,language,"
"201","ISIFL-3","Third International School in Formal Linguistics","",NA,"-",NA,"Tbilisi","Georgia","sign languages,experimental approaches,formal syntax,language acquisition,"
"202","IEEE-RIVF 2020","The 2020 IEEE-RIVF International Conference on Computing and Communications Technologies",""," 2020","Apr","5","Ho Chi Minh","Viet Nam","data analytics,cloud computing,artificial intelligence,cyber security,"
"203","NWDCN2020","International Workshop On Networking Women In Distributed Computing And Networks",""," 2020","Jan","4","Kolkata","India",""
"204","cSTEM’19","A Two Days National Conference on Stem (Science, Technology, Engineering and Mathematics)",""," 2019","Sep","27","Vallabh Vidyanagar","India","mathematics,engineering,science,"
"205","ML4H","NeurIPS 2019 Workshop on Machine Learning for Health","",NA,"-",NA,"Vancouver","Canada","health informatics,artificial intelligence,healthcare,machine learning,"
"206","SECSA 2020","SECSA 2020 Conference: Southeastern, Central and South American Federation 2020 Conference",""," 2020","Feb","28","Auburn","United States","hospitality and tourism,tourism education,hospitality education,"
"207","EVA London 2020","Electronic Visualisation and the Arts",""," 2020","Jul","6","London","UK","visual arts,visualisation,cultural heritage,computer science,"
"208","INCISCOS 2019","4th International Conference on Information Systems and Computer Science",""," 2019","Nov","19","Quito","Ecuador","algorithms,big data,information systems,computer science,"
"209","semnasbudaya2019","Seminar Nasional dan Call for Papers V ""Membangun Pariwisata Madura Berbasis Budaya Lokal"" Universitas Trunojoyo Madura",""," 2019","Oct","17","Bangkalan","Indonesia",""
"210","PSUCCESS ANC 2019","23rd Annual National Conference and Paper Presentation",""," 2019","Oct","28","Mandaluyong City","Philippines","educational system and its application,data science / data analytics,internet technology,the application of information technology,"
"211","2019 New Media Conference","2019 Annual Conference of China New Media Communication Association",""," 2019","Nov","23","Xiamen","China","media evolution and social implication,cyberspace governance,advertising and mobile internet,computational journalism and algorithm ethics,"
"212","18th A-CWAR","18th Australian Cyber Warfare Conference (CWAR)",""," 2019","Oct","8","Melbourne","Australia","human issues,information warfare,hacking,cyber warfare,"
"213","ILFIEL2019","International Language Fest on Indigenous and Endangered Languages",""," 2019","Oct","25","Shillong","India","standardization of indigenous language varieties,language endangerment,preservation of indigenous languages,linguistic description of indigenous languages,"
"214","ICAMEN2020","International Conference  on Advances in Mechanical Engineering and Nanotechnology",""," 2020","Feb","28","Jaipur","India","nanotechnology,thermal,design,manufacturing,"
"215","sec4dev2020","sec4dev2020",""," 2020","Feb","24","Vienna","Austria","secure software development,secure operation,secure coding,security testing,"
"216","2019 IEEE LA-CCI","2019 IEEE Latin American Conference on Computational Intelligence",""," 2019","Nov","11","Guayaquil","Ecuador",""
"217","PEEP'19 Meeting","Primary English Education in Portugal '19 Meeting",""," 2019","Nov","16","Faro","Portugal","ict in primary english education,oral interation,task based language teaching,action research,"
"218","SEAMEX 2019","Southeast Asia Music Education Exchange 2019",""," 2019","Sep","6","Yogyakarta","Indonesia",""
"219","CSIS'2019","XI International Scientific and Theoretical Conference ""Communicative Strategies of the Information Society""",""," 2019","Oct","25","St. Petersburg","Russia","public administration,sociotechnical environments,systems analysis,information society,"
"220","ICEF 2","International Conference on Economics and Finance-Ii",""," 2019","Dec","13","Bangalore","India","financial frictions,macrofinance,capital markets,corporate finance,"
"221","ASC 2020","56th Annual Associated Schools of Construction International Conference",""," 2020","Apr","15","Liverpool","UK","engineering,architecture,construction practice,construction education,"
"222","UAE-PPF-2020","UAE Public Policy Forum 2020",""," 2020","Feb","17","Dubai","UAE","digital transformation,government innovation,wellbeing,"
"223","ICCEMS 2020","2020 5th International Conference on Civil Engineering and Materials Science",""," 2020","May","15","Singapore","Singapore","bridge engineering,biomaterials,materials science,civil engineering,"
"224","ICAL 2020","2020 International Conference on Automation and Logistics",""," 2020","Mar","22","Beijing","China","manufacturing,big data,logistics,automation,"
"225","European Realities_2019","4th International Scientific Conference – European Realities  /MOVEMENTS/",""," 2019","Dec","12","Osijek","Croatia","economics,cultural and creative industries,media and media culture,culture and arts,"
"226","CITC 2019","4th Caribbean International Tourism Conference",""," 2019","Dec","11","Cave Hill","Barbados","event management,leisure,hospitality,tourism,"
"227","ADV1SEC","Recent Advances in Security, Privacy and Trust for Internet-of-Things (IoT) and Cyber-Physical Systems (CPS)","",NA,"-",NA,"NY","United States","<U+200B>intrusion detection,cyber crime,<U+200B>cyber risk,security and privacy in iot,"
"228","IDIA2020","11th International Development Informatics Association conference",""," 2020","Mar","25","Macau SAR","China","ict for development,development informatics,ictd,ict4d,"
"229","ACIIDS 2020","12th Asian Conference on Intelligent Information and Database Systems",""," 2020","Mar","23","Phuket","Thailand","information system applications,document management and text processing,data mining and machine learning,artificial and computational intelligence,"
"230","UDS'20","First International Conference on Urban Data Science",""," 2020","Jan","20","Chennai","India","internet of things,distributed computing,data science,urban mobility,"
"231","TIEMS2019AC","TIEMS 2019 Annual Conference",""," 2019","Nov","12","Seoul","South Korea",""
"232","ICET 2019","IEEE International Conference on Emerging Technologies",""," 2019","Dec","2","Peshawar","Pakistan",""
"233","IWAIVN 2019","The 1st IEEE International Workshop on Advances in Vehicular Networks",""," 2019","Nov","4","Monterey","United States","autonomous vehicles,network protocols,vehicular networks,"
"234","CIDP2020","Computational Intelligence in Digital Pedagogy","",NA,"-",NA,"Kolkata","India","mooc pedagogical approach obe,machine learning in performance analysis,ai based teaching learning tools,active flipped blended learning,"
"235","ACS FUB 2019","Academic Conference Simulation  at the Film University Babelsberg",""," 2019","Oct","11","Potsdam","Germany",""
"236","ICRITCSA-2019","International Conference on Recent Innovative Trends in Computer Science and Applications",""," 2019","Oct","25","Bangalore – 560 054","India",""
"237","PCBE 2019","5<U+03BF> <U+03A0>a<U+03BD>e<U+03BB><U+03BB><U+03AE><U+03BD><U+03B9><U+03BF> S<U+03C5><U+03BD><U+03AD>d<U+03C1><U+03B9><U+03BF> ""<U+0397> <U+0392><U+03B9><U+03BF><U+03BB><U+03BF><U+03B3><U+03AF>a st<U+03B7><U+03BD> <U+0395><U+03BA>pa<U+03AF>de<U+03C5>s<U+03B7>""",""," 2019","Nov","29","<U+0391><U+03B8><U+03AE><U+03BD>a","Greece","lab presentations/experiential seminars,research work,round table sessions/symposia,teaching practices,"
"238","EMC2","The 5th Workshop on Energy Efficient Machine Learning and Cognitive Computing",""," 2019","Dec","13","Vancouver","Canada",""
"239","ICSIDEMPC 2020","International Conference on Smart Innovations in Design, Environment, Management, Planning and Computing",""," 2020","Jul","3","Aurangabad","India","smart mobility and infrastructure,green technology and applications,sustainable architecture,industry 4.0,"
"240","M3HPCST-2020","3rd International Conference on Modern Mathematical Methods and High Performance Computing in Science & Technology","",NA,"-",NA,"Ghaziabad","India","optimization,mathematical models for computer science,metaheuristics in science and engineering,high performance computing (hpc),"
"241","IGRSM 2020","10th IGRSM International Conference and Exhibition on Geospatial & Remote Sensing",""," 2020","Mar","17","Kuala Lumpur","Malaysia","marine, terrestrial and space sciences,environmental sciences,geospatial technologies & applications,remote sensing & gis technologies,"
"242","wsdm2020-dc","WSDM 2020 Doctoral Consortium",""," 2020","Feb","3","Houston","United States","machine learning,information retrieval,data mining,web search,"
"243","ACTGrant2019","Accelerating Creative Teaching (ACT) Grant 2019-2020",""," 2019","Oct","11","Harrisonburg","United States","use of technology,engaging student learning,innovations in teaching,"
"244","CCDP2019","Chinese Conference on Digital Preservation 2019",""," 2019","Oct","28","Beijing","China","digital curation,digital preservation,"
"245","ICACII 2019","International Conference on Advances in Computational Intelligence and Informatics",""," 2019","Dec","20","Hyderabad","India","computational intelligence,data science and analytics,emerging technologies,cloud computing,"
"246","RCOSCM 19-20","Research Conference on Operations and Supply Chain Management",""," 2019","Nov","10","Nashik","India","finance and economics,marketing,human resource,information technology,"
"247","MMCP20","Multi-scale, Multi-physics and Coupled Problems on Highly Parallel Systems",""," 2020","Jan","14","Fukuoka","Japan","coupled problems,multi physics,hpc,multi scale,"
"248","Ural-PDC 2019","5th Ural Workshop on Parallel, Distributed, and Cloud Computing for Young Scientists",""," 2019","Oct","25","Yekaterinburg","Russia","cloud computing,high performance computing,"
"249","ComNet-Iot-2020","The 9th International Workshop on Computing and Networking for IoT and Beyond",""," 2020","Jan","4","Kolkata","India",""
"250","Convergences 2019","Convergences International Seminar 2019 - Post-digital: political perspectives in relations between art and technology",""," 2019","Oct","9","Porto Alegre","Brazil","critical appropriation of technological devices,new media art,postdigital,art and technology,"
"251","ICDE 2019","2nd International Conference on Digital Economy 2019",""," 2019","Dec","6","Raipur","India","impacts of digital economy,emerging applications in digital economy,technologies enabling digital economy,"
"252","RSGGSS 2019","RSG Germany Student Symposium 2019",""," 2019","Sep","16","Heidelberg","Germany","data analysis,systems biology,computational biology,bioinformatics,"
"253","APC2019","Animals and the (Playable) City: A Critical Perspective - An ACI 2019 Workshop","",NA,"-",NA,"Haifa","Israel","human and animal computer interaction,animals,urban design,cities,"
"254","RCIS2020","The Fourteenth International Conference on Research Challenges in Information Science",""," 2020","May","20","Limassol","Cyprus","business process management,"
"255","CHEM-CONFLUX20","International Conference on  Energy and Environmental Technologies for Sustainable Development",""," 2020","Feb","14","Prayagraj","India","energy intergration,biomass utlization,pollution control,renewable fuel,"
"256","FLAME2020","2nd International Conference on Future Learning Aspects of Mechanical Engineering",""," 2020","Aug","5","Noida","India","advances in interdisciplinary engineering,industrial and production engineering,advances in engineering design,fluid and thermal engineering,"
"257","","IEEE ETCM 2019 Deadline Extension","The IEEE 2019 ETCM organizing committee is happy to announce a submission deadline extension until the 18th of August."," 2019","Jul","31","","",""
"258","","Reunión Nacional de Ramas IEEE Ecuador 2019",""," 2019","Jul","16","","",""
"259","","2019 IEEE Workshop en Electrónica de Potencia","[English] —— The IEEE Industrial Electronics &  Control Systems Ecuador Joint Chapter invites members and interested party to attend the Power Electronics for Grid Integration Workshop to be held simoultaneously with the “Jornadas Académicas de la Carrera de Electricidad de la Universidad Técnica del Norte” in Ibarra, Ecuador. The workshop program will include plenary talks,… Read more <U+2192>"," 2019","May","17","","",""
"260","","Taller de Directivos Estudiantiles 2019",""," 2019","Mar","15","","",""
"261","","Martes 17 Quito y Miercoles 18 Cuenca CSS DLT Linda Bushnell","Linda Bushnell Control Systems Society Distinguished Lecturer     SECCIÓN ECUADOR     Attack-Resilient Submodular Control Framework for Smart Grid Stability Martes 17 de Octubre, 11.00, Universidad San Francisco de Quito, Cumbayá Regístrate Aquí Miércoles 18 de Octubre, 12.00 Universidad Politécnica Salesiana – Cuenca, Auditorio Luis Alberto Luna Tobar Regístrate aquí     Acerca… Read more <U+2192>"," 2017","Oct","14","","",""
